-4025,48,747,2,1,-5
-4023,53,753,0,5,-1
-4019,46,760,-3,6,-4
-4015,43,773,-1,6,-8
-4021,40,778,-1,3,-7
-4022,37,766,2,0,-8
-4018,43,765,-1,-1,-7
-4025,47,760,-1,-1,-2
-4026,45,769,3,1,-3
-4030,51,780,5,0,-5
-4030,44,762,0,-3,-4
-4029,46,764,3,-1,-5
-4025,48,772,3,0,-2
-4018,47,775,1,0,-5
-4015,46,776,1,-3,-9
-4020,49,776,2,-7,-3
-4027,49,772,1,-7,-2
-4028,49,771,4,-3,-3
-4024,43,780,3,-1,-4
-4019,43,785,2,1,-2
-4019,46,783,3,5,0
-4012,49,780,2,6,0
-4008,47,776,0,1,-2
-4019,39,769,0,2,0
-4022,37,772,0,1,1
-4021,38,767,0,2,-1
-4024,50,778,0,3,-4
-4020,51,787,1,7,-3
-4020,49,784,4,7,0
-4019,47,783,5,5,2
-4016,52,776,0,6,0
-4021,47,758,1,6,1
-4021,51,743,1,4,3
-4018,51,757,0,0,3
-4018,41,763,0,0,0
-4023,33,774,0,4,0
-4023,33,773,4,3,-2
-4027,40,760,4,1,-5
-4033,45,748,4,2,-3
-4025,37,745,5,-1,-2
-4021,45,747,2,0,-5
-4023,48,744,2,1,-2
-4014,49,749,3,-2,0
-4011,55,758,0,-4,0
-4008,57,759,2,4,0
-4009,55,755,3,0,-2
-4014,44,763,2,-3,0
-4021,44,764,4,-2,0
-4016,41,761,5,0,0
-4022,39,761,5,0,4
-4023,36,769,4,0,4
-4028,44,776,1,0,4
-4023,41,769,2,-3,2
-4014,39,776,2,4,-2
-4012,35,785,6,2,-3
-4021,45,781,7,2,-3
-4024,44,783,3,4,-7
-4021,42,777,4,4,-6
-4027,42,780,6,4,-5
-4033,46,779,6,1,-11
-4030,48,770,3,2,-11
-4028,48,776,6,6,-5
-4024,39,769,2,5,0
-4031,36,759,-1,3,1
-4036,32,770,0,3,-2
-4028,46,770,0,5,-4
-4022,49,770,3,4,-2
-4027,52,766,4,6,-2
-4025,47,768,4,6,0
-4019,41,776,2,3,3
-4014,50,781,0,-3,2
-4017,38,770,-1,-5,3
-4029,32,765,-2,-1,5
-4029,36,772,0,0,1
-4018,30,779,0,3,1
-4014,31,781,2,5,-1
-4015,36,778,3,1,-1
-4019,43,777,2,0,1
-4019,43,777,3,0,1
-4019,44,762,0,-2,2
-4022,46,763,-2,0,-1
-4025,45,774,0,0,0
-4021,42,768,-2,0,2
-4023,44,761,-2,5,1
-4018,42,766,0,1,0
-4016,44,769,-1,4,-7
-4021,50,766,0,1,-6
-4018,53,763,3,0,-4
-4021,52,752,7,0,-5
-4020,52,750,7,2,-5
-4020,52,746,1,2,-5
-4015,49,759,2,7,-7
-4021,43,761,3,5,-9
-4024,38,764,-2,0,-7
-4026,34,766,-3,-1,-5
-4029,26,774,-1,-2,-6
-4026,29,782,-1,-3,-2
-4026,38,780,0,-1,-2
-4024,35,782,2,2,-3
-4018,34,795,4,0,-3
-4020,30,779,2,-1,-8
-4022,35,778,2,-1,-6
-4024,38,781,5,-1,-3
-4030,35,779,4,-2,-6
-4027,37,764,0,-2,-3
-4032,51,753,1,0,-1
-4028,52,754,-2,0,1
-4027,51,766,0,-1,2
-4029,50,774,0,0,1
-4030,47,770,-1,3,-4
-4029,42,749,-3,0,-7
-4027,40,754,-4,0,-3
-4023,39,752,-3,-1,-5
-4015,47,750,-4,-1,-4
-4021,52,755,0,0,-1
-4027,46,754,3,1,0
-4029,43,754,6,3,-6
-4025,43,761,4,1,-10
-4023,45,766,2,4,-5
-4023,48,761,4,4,-4
-4021,45,769,2,3,-5
-4019,46,772,3,0,-7
-4024,44,771,4,6,-8
-4022,45,774,9,8,-7
-4017,47,774,10,7,-10
-4017,49,789,4,3,-8
-4020,47,784,2,0,-7
-4028,49,774,0,-1,0
-4023,53,773,2,-2,1
-4028,51,775,4,-2,-4
-4028,47,779,0,-3,-6
-4016,46,771,-2,-3,-10
-4022,44,767,-1,-2,-5
-4025,44,771,-1,0,-4
-4021,43,772,0,-1,-6
-4021,39,767,0,-4,-2
-4025,37,768,4,0,0
-4020,42,776,1,6,-3
-4018,41,781,0,2,0
-4016,36,767,6,3,-5
-4028,36,753,2,1,-10
-4027,39,759,1,1,-11
-4020,39,769,0,7,-5
-4019,42,772,1,5,-4
-4019,41,776,1,1,-5
-4020,46,768,2,4,-4
-4020,49,779,2,7,-5
-4017,53,774,3,2,-6
-4015,53,769,5,0,1
-4018,42,759,4,0,3
-4015,42,761,4,1,-1
-4021,43,785,5,-1,-3
-4024,40,782,3,1,-6
-4022,43,780,3,0,-5
-4020,52,778,0,0,-8
-4019,49,780,3,2,-9
-4017,38,781,0,3,-5
-4025,38,767,-1,1,0
-4027,37,768,-2,8,3
-4030,39,762,-2,7,5
-4029,45,765,1,3,2
-4025,44,773,1,3,-3
-4020,43,765,0,4,-6
-4022,48,773,0,1,-4
-4023,52,773,1,0,-5
-4024,54,769,-1,0,-3
-4014,51,756,0,2,-5
-4008,47,766,0,-2,-3
-4015,44,775,-2,2,-3
-4025,42,765,1,6,-6
-4025,45,763,4,3,-7
-4023,47,767,4,0,-4
-4013,46,768,1,0,-1
-4024,43,775,3,6,1
-4031,41,768,7,7,-1
-4023,40,772,3,7,-6
-4023,41,770,0,1,-10
-4020,41,770,1,-1,-9
-4021,43,765,2,0,-6
-4027,47,753,1,2,0
-4035,46,761,2,0,-1
-4028,43,772,1,-2,-4
-4028,44,771,5,0,-4
-4033,49,764,7,2,-2
-4027,44,766,6,-1,-3
-4021,41,760,5,0,-10
-4023,36,748,2,1,-6
-4021,35,747,1,0,-3
-4017,43,739,0,0,-2
-4020,42,745,-4,-1,-1
-4020,42,751,-2,0,1
-4019,44,759,-1,3,2
-4020,45,767,-1,4,3
-4031,45,773,2,1,0
-4027,42,760,4,3,2
-4026,41,757,4,6,2
-4028,38,762,5,4,0
-4025,50,771,4,0,-2
-4022,49,769,3,2,-3
-4017,45,766,4,-1,-5
-4020,46,779,2,-4,-3
-4021,45,784,5,-5,-2
-4025,45,771,1,-6,-3
-4023,41,772,0,-3,-1
-4023,42,771,3,-4,3
-4021,45,772,0,-4,1
-4021,45,767,2,-1,-1
-4016,46,771,2,0,-7
-4015,47,765,0,-4,-4
-4013,43,767,-2,-2,1
-4024,45,754,0,2,2
-4025,43,748,0,2,-1
-4019,41,763,3,3,-1
-4021,40,762,1,7,-3
-4025,43,764,-1,8,-5
-4031,41,766,0,1,-5
-4029,43,771,3,1,0
-4030,44,774,-1,8,3
-4030,45,781,-1,6,3
-4024,48,770,0,6,0
-4018,45,764,3,7,-2
-4017,47,764,1,10,-7
-4016,47,769,4,4,-8
-4014,45,765,1,4,-8
-4013,49,776,0,4,-9
-4017,55,778,0,5,-8
-4023,52,775,1,0,-10
-4027,49,776,-2,0,-10
-4028,48,775,0,0,-5
-4024,49,773,0,-6,-4
-4024,54,778,-2,-4,-8
-4020,49,774,-1,-5,-6
-4025,46,756,2,0,-1
-4019,41,749,3,6,-2
-4018,49,750,2,4,-6
-4018,46,759,3,-1,-11
-4013,42,767,4,-2,-7
-4016,45,775,8,-1,-1
-4019,48,770,8,-1,-4
